Questions-Hin,Questions-En,Answer-Hin,Answer-En
पैन क्या है?,What is PAN?,"परमानेंट अकाउंट नंबर (पैन), एक दस अंकों का अल्फान्यूमरिक आइडेंटिफायर (पहचानकर्ता) है, जिसे आयकर विभाग द्वारा जारी किया जाता है। प्रत्येक ऐसेसी (यानी व्यक्ति, फर्म, कंपनी आदि) को एक अद्वितीय पैन जारी किया जाता है।","Permanent Account Number (PAN) is a ten-digit alphanumeric identifier, issued by Income Tax Department. Each assessee (e.g. individual, firm, company etc.) is issued a unique PAN."
पैन के लिए कौन आवेदन कर सकता है?,Who can apply for PAN?,"सभी मौजूदा ऐसेसी या करदाता या व्यक्ति, जिन्हें आय का रिटर्न दर्ज करना आवश्यक है, भले ही किसी की ओर से दर्ज कर रहे हो, उनके पास पैन होना अनिवार्य है। कोई भी व्यक्ति, जो आर्थिक या वित्तीय लेनदेन करना चाहता है, जहाँ पैन दर्ज करना अनिवार्य है, उनके पास भी पैन होना अनिवार्य है।","All existing assessees or taxpayers or persons who are required to file a return of income, even on behalf of others, must have a PAN. Any person, who intends to enter into economic or financial transactions where quoting PAN is mandatory, must also have a PAN."
"नाबालिग, पागल, मूर्ख, मंद बुद्धी, मृत और अदालत के वार्ड्स की ओर से कौन आवेदन कर सकता है?","Who can apply on behalf of minor, lunatic, idiot, mentally retarded, deceased and wards of court?","आईटी अधिनियम, १९६१ की धारा १६० में यह प्रावधान है कि नाबालिग, पागल, मूर्ख, मंद बुद्धी, मृत और अदालत के वार्ड और ऐसे अन्य व्यक्तियों का प्रतिनिधित्व रीप्रेसेंटेटिव ऐसेसी (प्रतिनिधी निर्धारिती) के माध्यम से किया जा सकता है।
ऐसे मामलों में:
पैन के लिए आवेदन में, नाबालिग, पागल, मूर्ख, मंद बुद्धी, मृत और अदालत के वार्ड आदि का विवरण दिया जाना चाहिए।
पैन के लिए आवेदन के आइटम १४ में रीप्रेसेंटेटिव ऐसेसी (प्रतिनिधी निर्धारिती) का विवरण दिया जाना चाहिए।","Section 160 of IT Act, 1961 provides that a minor, lunatic, idiot, mentally retarded, deceased, wards of court and such other persons may be represented through a Representative Assessee.
In such cases,

 In the application for PAN, details of the a minor, lunatic, idiot, mentally retarded, deceased, wards of court, etc. should be provided.
Details of representative assessee have to be provided in item 14 of the application for PAN."
क्या ‘रिटर्न ऑफ इनकम (आय के रिटर्न)’ करने पर पैन प्रस्तुत करना अनिवार्य है?,Is it compulsory to quote PAN on 'return of income'?,"हाँ, ‘रिटर्न ऑफ इनकम (आय के रिटर्न)’ करने पर पैन प्रस्तुत करना अनिवार्य है।","Yes, it is compulsory to quote PAN on return of income."
क्या एक शहर से दूसरे शहर में जाने पर मुझे नए पैन के लिए आवेदन करने की आवश्यकता है?,Do I need to apply for a new PAN when I move from one city to another?,"परमानेंट अकाउंट नंबर (पैन) जैसा कि नाम दर्शाता है, यह एक स्थायी क्रमांक है और इसमें कोई बदलाव नहीं होता है।
हालांकि पता बदलने से, ऐसेसी अधिकारी बदल सकता है। इसलिए, इस तरह के बदलावों को आईटीडी को सूचित किया जाना चाहिए ताकि आईटीडी के पैन डेटाबेस को अद्यतन (अपडेट) किया जा सकें। आवेदक नए पैन कार्ड के अनुरोध या/और पैन डाटा में परिवर्तन या संशोधन के लिए फॉर्म भरकर पता में बदलाव को सूचित कर सकता है। यह फॉर्म किसी भी टिन-एफसी या प्रोटियन (पूर्व एनएसडीएल ई-गवर्नेंस) टिन वेबसाईट पर ऑनलाइन जमा किया जा सकता है।","Permanent Account Number (PAN), as the name suggests, is a permanent number and does not change.
Changing the address though, may change the Assessing Officer. Such changes must, therefore, be intimated to ITD so that the PAN database of ITD can be updated. One can intimate change in address by filling up the form for Request for New PAN Card or/and Changes or Correction in PAN data. This form can be submitted at any TIN-FC or online at Protean e-Gov - TIN website."
क्या मैं एक से अधिक पैन प्राप्त करा सकता/ती हूं?,Can I have more than one PAN?,"नहीं,एक से अधिक पैन प्राप्त करना/ रखना गैर-कानूनी है, जिसके लिए रु. १०,००० का जुर्माना हो सकता है। इसलिए, यह सलाह दी जाती है कि एक से अधिक पैन ना प्राप्त करें / ना रखें।","No. Obtaining/possessing more than one PAN is against the law and may attract a penalty up to  10,000. Therefore, it is advisable not to obtain/possess more than one PAN."
"यदि मेरे पास एक से अधिक पैन है, तो मुझे क्या करना चाहिए?",What should I do if I have more than one PAN?,"वर्तमान में आप जिस पैन का उपयोग कर रहें है, फॉर्म में उसका विवरण सबसे ऊपर भरकर पैन चेंज रिक्वेस्ट एप्लीकेशन फॉर्म जमा कर सकते हैं। आपके द्वारा अनजाने में आवंटित सभी अन्य पैन/नों का फॉर्म के आइटम नंबर ११ में उल्लेख किया जाना चाहिए और रद्दीकरण के लिए फॉर्म के साथ संबंधित पैन कार्ड की कॉपी/याँ जमा की जानी चाहिए।",You may fill and submit PAN Change Request application form by mentioning the PAN which you are using currently on top of the form. All other PAN/s inadvertently allotted to you should be mentioned at item no. 11 of the form and the corresponding PAN card copy/s should be submitted for cancellation along with the form.
क्या किसी तीसरे पक्ष का आवेदकों द्वारा प्रस्तुत दस्तावेजों की वास्तविकता के साथ पहचान और पते के सत्यापन के लिए किया जाता है?,Is there any third party verification conducted to verify identity and address of PAN applicants along with genuineness of documents submitted by them?,"हाँ,आयकर विभाग द्वारा निर्धारित प्रक्रिया के अनुसार, पैन आवेदन के दौरान उनके द्वारा जमा किए गए दस्तावेजों की पुष्टि के साथ-साथ पैन आवेदकों की पहचान और पते के सत्यापन के लिए तीसरे पक्ष द्वारा सत्यापन किया जा सकता है। फर्जी पाए जाने पर आयकर विभाग द्वारा उचित कार्रवाई की जा सकती है।","Yes. As per procedure prescribed by Income Tax Department, third party verification may be conducted to verify identity and address of PAN applicants along with genuineness of documents submitted by them during PAN application. If found fake, the Income Tax Department may take suitable action."
"ई-पैन क्या है? क्या ई-पैन,  पैन आवंटन का वैध प्रमाण है?",What is e-PAN? Is e-PAN a valid proof of allotment of PAN?,ई-पैन इलेक्ट्रॉनिक रूप में जारी एक डिजिटल हस्ताक्षरित पैन कार्ड है और यह पैन के आवंटन का एक वैध प्रमाण है।,e-PAN is a digitally signed PAN card issued in electronic form and it is a valid proof of allotment of PAN.
क्या ई-पैन प्राप्त करने के लिए ई-मेल आईडी अनिवार्य है?,Is e-mail ID mandatory for receiving e-PAN?,"हाँ,ई-पैन प्राप्त करने के लिए पैन आवेदन फॉर्म में वैध ई-मेल आईडी का उल्लेख करना अनिवार्य है।",Yes. It is mandatory to mention valid e-mail ID in PAN application form to receive e-PAN.
